customerID,tenure,MonthlyCharges,Contract,Churn
CUST_0128,10,96.63,Month-to-month,Yes
CUST_0129,56,46.86,One year,No
CUST_0130,61,90.39,Two year,Yes
CUST_0131,45,48.23,Month-to-month,No
CUST_0132,51,37.78,One year,Yes
CUST_0133,64,115.93,Month-to-month,No
CUST_0134,20,113.42,One year,No
CUST_0135,55,96.82,One year,Yes
CUST_0136,69,70.69,One year,No
CUST_0137,41,30.43,One year,No
CUST_0138,69,45.35,Two year,No
CUST_0139,42,78.63,Two year,No
CUST_0140,16,97.96,Two year,No
CUST_0141,11,114.69,Month-to-month,No
CUST_0142,53,30.37,One year,No
CUST_0143,3,108.23,One year,No
CUST_0144,55,90.36,Two year,No
CUST_0145,2,82.31,Two year,Yes
CUST_0146,11,33.14,Two year,No
CUST_0147,12,110.86,One year,Yes
CUST_0148,9,80.73,Month-to-month,Yes
CUST_0149,71,75.51,Month-to-month,No
CUST_0150,51,98.11,Two year,No
CUST_0151,31,48.45,Month-to-month,Yes
CUST_0152,14,26.71,One year,No
CUST_0153,39,77.44,Two year,No
CUST_0154,66,73.96,Two year,No
CUST_0155,56,47.44,One year,No
CUST_0156,35,36.11,One year,No
CUST_0157,67,114.01,Month-to-month,Yes
CUST_0158,9,75.02,Month-to-month,Yes
CUST_0159,71,32.59,One year,No
CUST_0160,35,40.54,Month-to-month,Yes
CUST_0161,57,93.42,One year,No
CUST_0162,37,41.3,Month-to-month,No
CUST_0163,70,24.84,Two year,No
CUST_0164,19,71.71,Two year,No
CUST_0165,65,40.23,Two year,No
CUST_0166,53,44.46,Two year,No
CUST_0167,25,70.7,Month-to-month,No
CUST_0168,7,114.66,One year,No
CUST_0169,16,119.8,Two year,No
CUST_0170,71,67.88,Month-to-month,Yes
CUST_0171,43,55.56,One year,No
CUST_0172,26,48.9,One year,No
CUST_0173,34,67.09,Month-to-month,Yes
CUST_0174,55,118.94,Two year,No
CUST_0175,60,102.34,Month-to-month,Yes
CUST_0176,37,113.23,Month-to-month,No
CUST_0177,60,41.84,One year,No
CUST_0178,55,52.73,Two year,No
CUST_0179,55,55.72,One year,No
CUST_0180,52,107.52,One year,No
CUST_0181,55,43.68,Two year,No
CUST_0182,72,96.8,Two year,No
CUST_0183,4,87.35,Month-to-month,Yes
CUST_0184,40,43.78,One year,Yes
CUST_0185,41,73.12,One year,No
CUST_0186,6,29.09,Two year,No
CUST_0187,47,80.1,One year,Yes
CUST_0188,60,106.71,Month-to-month,No
CUST_0189,5,104.98,One year,Yes
CUST_0190,3,110.78,Month-to-month,Yes
CUST_0191,63,55.41,Month-to-month,Yes
CUST_0192,52,71.59,Two year,No
CUST_0193,12,66.43,Month-to-month,No
CUST_0194,40,57.65,Two year,No
CUST_0195,8,62.52,One year,Yes
CUST_0196,57,113.58,Two year,No
CUST_0197,2,118.75,Month-to-month,Yes
CUST_0198,42,91.24,Month-to-month,Yes
CUST_0199,23,89.79,Two year,No
CUST_0200,28,27.17,Two year,No
CUST_0201,35,86.31,One year,No
CUST_0202,48,50.16,One year,Yes
CUST_0203,13,80.66,Month-to-month,No
CUST_0204,47,58.79,Month-to-month,No
CUST_0205,69,50.55,One year,No
CUST_0206,38,21.96,Month-to-month,Yes
CUST_0207,34,86.97,One year,No
CUST_0208,3,98.03,One year,Yes
CUST_0209,68,101.02,Month-to-month,Yes
CUST_0210,70,77.21,Month-to-month,No
CUST_0211,69,119.58,Two year,No
CUST_0212,14,107.69,One year,No
CUST_0213,27,63.82,Month-to-month,Yes
CUST_0214,2,77.35,One year,No
CUST_0215,33,116.17,One year,Yes
CUST_0216,45,66.09,One year,No
CUST_0217,13,78.75,Two year,Yes
CUST_0218,72,23.98,Two year,No
CUST_0219,62,63.81,Two year,No
CUST_0220,52,41.55,One year,No
CUST_0221,64,32.02,Month-to-month,Yes
CUST_0222,1,66.37,Two year,No
CUST_0223,8,110.82,Two year,No
CUST_0224,60,119.87,Two year,No
CUST_0225,14,43.14,One year,No
CUST_0226,66,60.34,One year,No
CUST_0227,57,107.43,Two year,No
CUST_0228,41,69.13,Month-to-month,No
CUST_0229,17,33.45,One year,No
CUST_0230,29,50.47,Month-to-month,Yes
CUST_0231,12,112.9,Two year,Yes
CUST_0232,14,86.98,Two year,No
CUST_0233,41,23.28,Two year,No
CUST_0234,26,69.53,One year,No
CUST_0235,21,97.68,One year,No
CUST_0236,2,71.46,Month-to-month,Yes
CUST_0237,21,91.28,Month-to-month,Yes
CUST_0238,3,69.75,Month-to-month,Yes
CUST_0239,19,49.43,One year,No
CUST_0240,39,40.88,One year,No
CUST_0241,58,56.93,Month-to-month,Yes
CUST_0242,56,29.02,One year,No
CUST_0243,36,111.61,Two year,No
CUST_0244,33,42.63,Month-to-month,Yes
CUST_0245,37,117.5,Month-to-month,Yes
CUST_0246,14,115.27,Month-to-month,No
CUST_0247,9,29.34,Two year,No
CUST_0248,58,52.93,One year,No
CUST_0249,8,97.87,One year,No
CUST_0250,72,112.21,Two year,No
CUST_0251,59,100.84,One year,No
CUST_0252,29,37.5,Two year,No
CUST_0253,55,36.1,Month-to-month,No
CUST_0254,4,71.48,One year,No
CUST_0255,71,109.3,One year,No
CUST_0256,29,53.05,Month-to-month,No
CUST_0257,52,43.09,Two year,No
CUST_0258,39,115.36,Two year,No
CUST_0259,27,37.37,One year,No
CUST_0260,4,65.14,Two year,No
CUST_0261,57,98.71,Month-to-month,Yes
CUST_0262,15,21.78,One year,No
CUST_0263,7,91.09,One year,Yes
CUST_0264,3,31.8,Month-to-month,No
CUST_0265,27,55.34,Month-to-month,No
CUST_0266,65,108.1,Month-to-month,Yes
CUST_0267,19,70.96,Month-to-month,Yes
CUST_0268,25,54.73,Month-to-month,No
CUST_0269,29,27.75,Month-to-month,Yes
CUST_0270,45,62.62,Two year,No
CUST_0271,17,105.53,One year,Yes
CUST_0272,12,23.31,Month-to-month,No
CUST_0273,34,64.83,Two year,No
CUST_0274,26,51.7,One year,No
CUST_0275,50,107.53,One year,No
CUST_0276,61,82.03,Month-to-month,Yes
CUST_0277,51,46.6,Two year,No
CUST_0278,50,58.21,One year,No
CUST_0279,47,64.33,Month-to-month,No
CUST_0280,42,86.67,Two year,No
CUST_0281,15,60.47,Two year,No
CUST_0282,71,52.78,Month-to-month,No
CUST_0283,8,70.04,One year,No
CUST_0284,8,105.49,Two year,Yes
CUST_0285,11,26.74,Two year,No
CUST_0286,57,72.34,Month-to-month,No
CUST_0287,10,60.92,Month-to-month,Yes
CUST_0288,42,87.66,One year,No
CUST_0289,8,83.73,Two year,No
CUST_0290,28,63.47,Two year,No
CUST_0291,20,84.7,One year,No
CUST_0292,22,42.23,One year,No
CUST_0293,71,41.02,One year,No
CUST_0294,38,84.8,Two year,Yes
CUST_0295,70,119.33,Month-to-month,Yes
CUST_0296,31,61.47,Two year,No
CUST_0297,42,67.75,Month-to-month,Yes
CUST_0298,35,99.37,Month-to-month,Yes
CUST_0299,38,116.99,Month-to-month,Yes
CUST_0300,61,25.88,One year,No
CUST_0301,42,35.32,Month-to-month,Yes
CUST_0302,51,57.1,One year,No
CUST_0303,13,97.09,One year,No
CUST_0304,51,110.24,Two year,Yes
CUST_0305,47,28.98,Month-to-month,No
CUST_0306,40,61.83,Month-to-month,No
CUST_0307,38,104.06,One year,No
CUST_0308,26,79.67,Month-to-month,No
CUST_0309,24,24.99,Month-to-month,Yes
CUST_0310,65,34.7,Month-to-month,No
CUST_0311,23,77.31,One year,No
CUST_0312,3,61.78,Two year,No
CUST_0313,31,68.7,One year,No
CUST_0314,34,26.01,One year,No
CUST_0315,31,47.93,One year,No
CUST_0316,21,83.73,Two year,No
CUST_0317,20,41.81,One year,No
CUST_0318,33,113.66,Month-to-month,Yes
CUST_0319,41,78.1,One year,No
CUST_0320,2,33.76,Two year,No
CUST_0321,30,28.59,Month-to-month,No
CUST_0322,37,94.38,One year,No
CUST_0323,72,91.16,Month-to-month,No
CUST_0324,27,70.33,One year,No
CUST_0325,2,115.66,Month-to-month,Yes
CUST_0326,48,96.15,Two year,No
CUST_0327,69,25.76,One year,No
CUST_0328,30,56.51,Month-to-month,No
CUST_0329,64,118.46,One year,Yes
CUST_0330,47,65.67,One year,No
CUST_0331,19,57.04,Month-to-month,No
CUST_0332,19,86.03,Two year,No
CUST_0333,28,94.41,One year,No
CUST_0334,6,57.78,One year,No
CUST_0335,24,58.56,Two year,No
CUST_0336,59,91.96,One year,No
CUST_0337,18,106.94,Two year,No
CUST_0338,14,64.65,One year,No
CUST_0339,40,20.23,Two year,No
CUST_0340,20,31.88,Month-to-month,No
CUST_0341,3,88.22,One year,Yes
CUST_0342,46,81.89,Month-to-month,No
CUST_0343,71,111.29,Two year,No
CUST_0344,68,55.29,One year,No
CUST_0345,17,90.89,Two year,No
CUST_0346,69,37.49,Two year,No
CUST_0347,29,105.3,Month-to-month,Yes
CUST_0348,49,57.45,Month-to-month,No
CUST_0349,2,56.54,One year,No
CUST_0350,3,62.66,One year,No
CUST_0351,48,109.95,Month-to-month,Yes
CUST_0352,18,86.39,Two year,No
CUST_0353,67,111.25,Month-to-month,Yes
CUST_0354,39,32.81,Month-to-month,No
CUST_0355,66,83.35,Month-to-month,No
CUST_0356,16,63.28,Two year,No
CUST_0357,46,56.95,Two year,No
CUST_0358,3,50.35,Two year,Yes
CUST_0359,14,74.33,Month-to-month,Yes
CUST_0360,20,35.31,Month-to-month,No
CUST_0361,7,69.16,One year,Yes
CUST_0362,66,66.28,Month-to-month,Yes
CUST_0363,23,119.2,Two year,No
CUST_0364,5,21.95,Month-to-month,Yes
CUST_0365,42,83.04,Two year,Yes
CUST_0366,54,114.32,Two year,Yes
CUST_0367,53,21.55,Month-to-month,No
CUST_0368,68,42.09,Two year,No
CUST_0369,3,69.14,Month-to-month,Yes
CUST_0370,64,73.33,One year,Yes
CUST_0371,37,60.23,One year,No
CUST_0372,59,114.08,Month-to-month,Yes
CUST_0373,62,60.44,One year,No
CUST_0374,32,63.67,One year,No
CUST_0375,29,41.71,Two year,No
CUST_0376,70,118.2,Month-to-month,Yes
CUST_0377,38,23.54,One year,No
CUST_0378,5,65.53,Two year,No
CUST_0379,18,94.94,One year,No
CUST_0380,28,71.83,One year,No
CUST_0381,22,25.31,One year,No
CUST_0382,6,110.26,Month-to-month,Yes
CUST_0383,3,65.93,One year,No
CUST_0384,4,81.63,Two year,No
CUST_0385,72,47.43,One year,No
CUST_0386,43,102.47,Two year,No
CUST_0387,15,99.55,Month-to-month,No
CUST_0388,34,22.15,Month-to-month,No
CUST_0389,65,81.91,One year,No
CUST_0390,64,27.17,One year,No
CUST_0391,18,41.03,One year,No
CUST_0392,39,62.46,Month-to-month,No
CUST_0393,14,61.58,Two year,No
CUST_0394,49,69.05,Month-to-month,No
CUST_0395,56,90.0,Two year,No
CUST_0396,12,22.6,One year,No
CUST_0397,35,22.13,Two year,No
CUST_0398,22,77.39,Month-to-month,Yes
CUST_0399,49,84.56,Two year,No
CUST_0400,50,75.21,Month-to-month,No
CUST_0401,4,86.37,Two year,No
CUST_0402,53,90.2,Two year,Yes
CUST_0403,34,112.48,Month-to-month,Yes
CUST_0404,23,76.76,One year,No
CUST_0405,41,62.31,One year,No
CUST_0406,59,80.77,Two year,No
CUST_0407,17,77.02,Month-to-month,No
CUST_0408,52,68.07,Month-to-month,Yes
CUST_0409,55,119.93,One year,Yes
CUST_0410,53,54.79,Two year,No
CUST_0411,31,112.4,Month-to-month,Yes
CUST_0412,61,52.07,Two year,Yes
CUST_0413,53,42.71,Month-to-month,No
CUST_0414,49,74.72,Month-to-month,No
CUST_0415,53,29.7,One year,No
CUST_0416,30,97.74,Two year,No
CUST_0417,21,32.31,One year,No
CUST_0418,20,108.09,One year,Yes
CUST_0419,25,54.39,One year,No
CUST_0420,1,42.43,Month-to-month,Yes
CUST_0421,1,54.21,One year,Yes
CUST_0422,52,26.81,Two year,No
CUST_0423,72,55.59,One year,No
CUST_0424,72,20.96,Month-to-month,No
CUST_0425,32,91.18,Two year,No
CUST_0426,19,58.46,One year,Yes
CUST_0427,69,31.82,Two year,No
CUST_0428,29,39.87,Two year,No
CUST_0429,56,22.96,Month-to-month,No
CUST_0430,25,38.31,Month-to-month,Yes
CUST_0431,42,54.64,Month-to-month,No
CUST_0432,62,83.94,Month-to-month,No
CUST_0433,27,105.78,Month-to-month,Yes
CUST_0434,8,64.97,Two year,No
CUST_0435,55,98.63,One year,No
CUST_0436,67,105.85,One year,Yes
CUST_0437,60,90.48,Two year,No
CUST_0438,33,102.41,One year,Yes
CUST_0439,55,38.65,Two year,No
CUST_0440,29,21.05,One year,No
CUST_0441,14,29.4,One year,No
CUST_0442,28,100.95,Two year,Yes
CUST_0443,53,32.53,Two year,Yes
CUST_0444,6,78.8,One year,No
CUST_0445,29,55.55,Two year,No
CUST_0446,55,91.34,Month-to-month,Yes
CUST_0447,66,109.67,One year,No
CUST_0448,62,110.18,Two year,Yes
CUST_0449,71,75.65,Two year,No
CUST_0450,26,29.27,Month-to-month,No
CUST_0451,40,73.1,One year,No
CUST_0452,53,65.05,One year,No
CUST_0453,66,37.26,One year,No
CUST_0454,48,26.15,Month-to-month,Yes
CUST_0455,29,104.27,One year,No
CUST_0456,17,111.4,One year,No
CUST_0457,10,41.32,Month-to-month,Yes
CUST_0458,35,27.59,One year,No
CUST_0459,39,93.65,Month-to-month,No
CUST_0460,12,36.94,One year,Yes
CUST_0461,13,23.63,Two year,No
CUST_0462,66,53.91,Two year,No
CUST_0463,2,102.08,Two year,No
CUST_0464,68,104.67,Two year,No
CUST_0465,4,45.59,Two year,Yes
CUST_0466,47,24.29,Two year,No
CUST_0467,59,48.04,Two year,No
CUST_0468,45,23.24,Two year,No
CUST_0469,32,39.49,Month-to-month,No
CUST_0470,5,97.61,Month-to-month,Yes
CUST_0471,1,41.59,Month-to-month,No
CUST_0472,49,54.22,Month-to-month,No
CUST_0473,58,51.01,Two year,No
CUST_0474,55,98.15,Month-to-month,No
CUST_0475,60,36.51,Month-to-month,Yes
CUST_0476,16,91.87,One year,No
CUST_0477,32,79.0,One year,No
CUST_0478,36,22.44,Month-to-month,Yes
CUST_0479,12,35.71,Month-to-month,Yes
CUST_0480,53,77.99,One year,No
CUST_0481,66,30.84,Month-to-month,No
CUST_0482,63,30.85,Month-to-month,Yes
CUST_0483,41,86.91,One year,Yes
CUST_0484,13,32.55,One year,Yes
CUST_0485,12,111.84,Month-to-month,Yes
CUST_0486,3,38.25,One year,No
CUST_0487,9,103.19,Month-to-month,Yes
CUST_0488,55,60.59,Two year,No
CUST_0489,15,25.07,Month-to-month,No
CUST_0490,13,104.99,One year,No
CUST_0491,55,105.43,One year,Yes
CUST_0492,34,20.34,Two year,No
CUST_0493,24,41.47,One year,No
CUST_0494,53,34.61,Two year,No
CUST_0495,11,117.9,Month-to-month,Yes
CUST_0496,21,56.69,Two year,No
CUST_0497,62,20.77,Two year,No
CUST_0498,56,74.64,One year,No
CUST_0499,20,39.09,Two year,No
CUST_0500,38,74.2,Month-to-month,No
CUST_0501,55,66.47,Two year,No
CUST_0502,49,44.48,Month-to-month,Yes
CUST_0503,70,41.08,Month-to-month,Yes
CUST_0504,52,45.33,Two year,No
CUST_0505,47,64.04,One year,No
CUST_0506,51,31.49,Two year,No
CUST_0507,57,99.01,Month-to-month,Yes
CUST_0508,35,58.03,One year,Yes
CUST_0509,11,94.7,Two year,No
CUST_0510,37,110.57,One year,No
CUST_0511,31,54.28,One year,No
CUST_0512,36,51.35,One year,No
CUST_0513,3,27.55,One year,No
CUST_0514,3,40.11,Month-to-month,Yes
CUST_0515,4,107.7,Month-to-month,Yes
CUST_0516,35,51.04,Two year,No
CUST_0517,54,51.53,One year,No
CUST_0518,68,79.63,Month-to-month,No
CUST_0519,32,55.73,Month-to-month,No
CUST_0520,41,51.32,Two year,No
CUST_0521,10,87.17,Two year,Yes
CUST_0522,47,26.78,Two year,No
CUST_0523,69,54.47,One year,No
CUST_0524,57,56.24,One year,No
CUST_0525,2,118.08,Month-to-month,Yes
CUST_0526,22,98.5,Month-to-month,Yes
CUST_0527,49,57.79,Month-to-month,No
CUST_0528,71,98.37,Two year,Yes
CUST_0529,37,38.39,Two year,No
CUST_0530,48,54.16,Two year,No
CUST_0531,51,107.15,Month-to-month,Yes
CUST_0532,63,116.05,Month-to-month,Yes
CUST_0533,23,61.47,Month-to-month,No
CUST_0534,54,57.22,One year,No
CUST_0535,2,41.18,One year,No
CUST_0536,9,90.58,One year,Yes
CUST_0537,22,88.89,Month-to-month,No
CUST_0538,72,95.17,Two year,Yes
CUST_0539,50,81.65,One year,Yes
CUST_0540,44,95.39,Two year,No
CUST_0541,23,87.91,Two year,No
CUST_0542,7,65.55,One year,Yes
CUST_0543,23,111.01,One year,No
CUST_0544,54,105.53,One year,Yes
CUST_0545,64,66.83,Month-to-month,Yes
CUST_0546,50,40.19,Two year,No
CUST_0547,35,50.27,Month-to-month,No
CUST_0548,47,40.55,One year,No
CUST_0549,36,118.94,Two year,No
CUST_0550,42,100.63,Two year,Yes
CUST_0551,26,68.65,Month-to-month,No
CUST_0552,45,63.48,Two year,No
CUST_0553,58,67.85,One year,No
CUST_0554,40,77.84,Month-to-month,Yes
CUST_0555,26,57.14,One year,No
CUST_0556,14,106.3,Two year,No
CUST_0557,45,97.97,Month-to-month,No
CUST_0558,59,101.84,Two year,No
CUST_0559,21,119.25,One year,No
CUST_0560,19,68.38,One year,Yes
CUST_0561,3,87.43,Two year,No
CUST_0562,42,105.27,Month-to-month,Yes
CUST_0563,64,31.31,One year,No
CUST_0564,25,111.8,Two year,No
CUST_0565,51,74.22,Two year,No
CUST_0566,21,95.92,One year,No
CUST_0567,26,59.42,Two year,No
CUST_0568,18,98.68,Two year,Yes
CUST_0569,49,95.93,One year,Yes
CUST_0570,60,112.6,Two year,No
CUST_0571,61,94.25,Two year,No
CUST_0572,63,42.21,Month-to-month,No
CUST_0573,45,35.47,Month-to-month,Yes
CUST_0574,36,30.64,Month-to-month,No
CUST_0575,9,111.4,One year,No
CUST_0576,52,100.41,Two year,No
CUST_0577,38,36.4,One year,No
CUST_0578,6,76.39,Two year,No
CUST_0579,8,74.22,Month-to-month,Yes
CUST_0580,59,67.79,One year,No
CUST_0581,22,103.97,One year,Yes
CUST_0582,52,40.14,Month-to-month,No
CUST_0583,36,67.03,Month-to-month,No
CUST_0584,62,84.97,One year,No
CUST_0585,38,55.51,One year,No
CUST_0586,27,21.23,One year,No
CUST_0587,14,80.63,Month-to-month,Yes
CUST_0588,2,86.17,One year,No
CUST_0589,68,81.63,One year,No
CUST_0590,28,35.12,One year,No
CUST_0591,57,24.25,One year,No
CUST_0592,40,81.58,Month-to-month,Yes
CUST_0593,45,72.19,Month-to-month,No
CUST_0594,13,109.93,One year,No
CUST_0595,36,105.79,Month-to-month,Yes
CUST_0596,32,113.11,Two year,Yes
CUST_0597,5,106.36,One year,Yes
CUST_0598,39,95.12,One year,No
CUST_0599,65,41.97,Two year,No
CUST_0600,61,107.86,Month-to-month,No
CUST_0601,71,103.56,Two year,No
CUST_0602,67,63.0,Two year,No
CUST_0603,55,31.78,Month-to-month,Yes
CUST_0604,27,47.42,Two year,No
CUST_0605,12,51.12,Two year,No
CUST_0606,43,61.97,Two year,No
CUST_0607,54,51.62,Month-to-month,No
CUST_0608,54,62.76,Two year,No
CUST_0609,36,22.51,One year,No
CUST_0610,46,99.7,One year,No
CUST_0611,63,89.7,Two year,Yes
CUST_0612,22,45.13,One year,No
CUST_0613,20,26.38,Month-to-month,No
CUST_0614,43,25.34,One year,Yes
CUST_0615,27,52.91,One year,No
CUST_0616,28,38.51,One year,No
CUST_0617,29,71.62,Two year,No
CUST_0618,2,50.9,One year,No
CUST_0619,1,71.94,One year,Yes
CUST_0620,61,76.18,Month-to-month,No
CUST_0621,48,71.93,Two year,No
CUST_0622,49,63.98,Month-to-month,Yes
CUST_0623,67,114.96,One year,No
CUST_0624,39,115.7,Month-to-month,No
CUST_0625,49,41.88,Two year,No
CUST_0626,18,41.65,Month-to-month,No
CUST_0627,46,104.52,Month-to-month,No
CUST_0628,67,82.27,Two year,Yes
CUST_0629,58,83.27,Two year,No
CUST_0630,52,96.18,One year,No
CUST_0631,64,103.61,Month-to-month,No
CUST_0632,13,106.39,One year,Yes
CUST_0633,54,61.44,One year,No
CUST_0634,69,31.66,Two year,No
CUST_0635,26,94.94,Month-to-month,Yes
CUST_0636,8,85.84,Month-to-month,Yes
CUST_0637,67,41.76,One year,No
CUST_0638,61,90.91,One year,Yes
CUST_0639,55,117.08,One year,No
CUST_0640,30,91.7,One year,Yes
CUST_0641,44,23.24,Two year,No
CUST_0642,64,21.69,Two year,No
CUST_0643,35,66.92,Two year,No
CUST_0644,59,33.28,Month-to-month,Yes
CUST_0645,24,100.09,Month-to-month,Yes
CUST_0646,9,75.34,Two year,No
CUST_0647,10,46.56,One year,No
CUST_0648,58,71.43,One year,No
CUST_0649,34,103.51,Month-to-month,Yes
CUST_0650,7,47.65,Two year,No
CUST_0651,39,76.32,Month-to-month,No
CUST_0652,38,112.51,One year,No
CUST_0653,64,90.46,Two year,Yes
CUST_0654,18,109.45,Two year,Yes
CUST_0655,71,103.39,Month-to-month,No
CUST_0656,5,79.63,Month-to-month,Yes
CUST_0657,4,23.28,One year,Yes
CUST_0658,21,118.14,Month-to-month,No
CUST_0659,56,48.46,Month-to-month,No
CUST_0660,1,105.45,Month-to-month,Yes
CUST_0661,9,116.56,One year,No
CUST_0662,29,105.11,Month-to-month,Yes
CUST_0663,10,104.9,One year,Yes
CUST_0664,9,46.38,Two year,No
CUST_0665,52,46.87,Two year,No
CUST_0666,21,50.66,Two year,No
CUST_0667,57,61.58,One year,No
CUST_0668,16,104.47,Two year,No
CUST_0669,56,22.85,Month-to-month,Yes
CUST_0670,57,28.02,Month-to-month,Yes
CUST_0671,44,89.79,Two year,No
CUST_0672,63,41.52,Month-to-month,No
CUST_0673,23,60.04,Month-to-month,Yes
CUST_0674,25,52.21,Month-to-month,No
CUST_0675,2,72.46,Month-to-month,Yes
CUST_0676,48,54.8,Month-to-month,Yes
CUST_0677,54,105.67,Two year,No
CUST_0678,11,58.55,Month-to-month,No
CUST_0679,54,56.23,One year,No
CUST_0680,26,36.84,Two year,No
CUST_0681,32,56.88,Month-to-month,Yes
CUST_0682,38,20.15,Two year,No
CUST_0683,37,69.67,One year,No
CUST_0684,56,113.89,One year,No
CUST_0685,9,43.17,One year,No
CUST_0686,48,115.22,Two year,No
CUST_0687,51,57.31,One year,No
CUST_0688,69,93.68,One year,No
CUST_0689,8,65.1,Two year,No
